epoch,lr,train_loss,train_accuracy,train_top5_accuracy,val_loss,val_accuracy,val_top5_accuracy
1,0.001,8.223940409858036,0.0,0.0,8.25919729598025,0.0013297872340425532,0.0013297872340425532
2,0.001,8.185237863854463,0.0,0.00028514399771884804,8.134304716231975,0.0013297872340425532,0.0013297872340425532
3,0.001,8.145831160304686,0.0,0.00142571998859424,8.134637731186887,0.0,0.0
4,0.001,8.136498598621413,0.000855431993156544,0.001996007984031936,8.131214385337017,0.0,0.0
5,0.001,8.134096195937767,0.0,0.00142571998859424,8.133492287169112,0.0,0.0013297872340425532
6,0.001,8.13329872025837,0.0,0.0025662959794696323,8.13124851470298,0.0,0.0
7,0.001,8.13310035137767,0.00028514399771884804,0.0022811519817507843,8.131220472619889,0.0,0.0
8,0.0005,8.132806212874195,0.00028514399771884804,0.001996007984031936,8.131447852926051,0.0,0.0
9,0.0005,8.130444660192206,0.0005702879954376961,0.0025662959794696323,8.131353500041556,0.0,0.0
10,0.0005,8.130317637136528,0.0,0.00285143997718848,8.13130591778045,0.0,0.0
11,0.0005,8.130153213840352,0.0011405759908753922,0.00285143997718848,8.131104550463087,0.0,0.0
12,0.0005,8.130049825700423,0.000855431993156544,0.003136583974907328,8.130795133874772,0.0,0.0
13,0.0005,8.129520402391107,0.00142571998859424,0.003136583974907328,8.129969353371479,0.0,0.0
14,0.0005,8.128860918245731,0.00028514399771884804,0.003136583974907328,8.12858017454756,0.0,0.0
15,0.00025,8.126317509634053,0.0011405759908753922,0.004562303963501569,8.122728855051893,0.0,0.0
16,0.00025,8.115000323689083,0.000855431993156544,0.00570287995437696,8.103957724063955,0.0,0.0026595744680851063
17,0.00025,8.092868373915447,0.000855431993156544,0.005417735956658112,8.066470247633914,0.0,0.0
18,0.00025,8.044933411277595,0.0011405759908753922,0.004562303963501569,8.013503216682597,0.0,0.0
19,0.00025,7.979929217933282,0.000855431993156544,0.003136583974907328,7.951268825125187,0.0,0.0013297872340425532
20,0.00025,7.913966504127713,0.000855431993156544,0.00427715996578272,7.9127597098654885,0.0013297872340425532,0.0013297872340425532
